,source,target,source_id,target_id
18245,Hostage Taking (Kidnapping),Business,2,11
18246,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
18247,Bombing/Explosion,Private Citizens & Property,7,16
18248,Bombing/Explosion,NGO,7,21
18249,Assassination,Private Citizens & Property,0,16
18250,Hostage Taking (Kidnapping),Government (General),2,14
18251,Hostage Taking (Kidnapping),Business,2,11
18252,Bombing/Explosion,Police,7,9
18253,Assassination,Government (General),0,14
18254,Assassination,Police,0,9
18255,Bombing/Explosion,Police,7,9
18256,Bombing/Explosion,Transportation,7,22
18257,Unknown,Private Citizens & Property,3,16
18258,Unknown,Private Citizens & Property,27,16
18259,Bombing/Explosion,Business,7,11
18260,Bombing/Explosion,Business,7,11
18261,Bombing/Explosion,Business,7,11
18262,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
18263,Bombing/Explosion,Utilities,7,19
18264,Bombing/Explosion,Private Citizens & Property,7,16
18265,Armed Assault,Private Citizens & Property,1,16
18266,Bombing/Explosion,Business,7,11
18267,Bombing/Explosion,Government (General),7,14
18268,Bombing/Explosion,Government (General),7,14
18269,Facility/Infrastructure Attack,Transportation,6,22
18270,Facility/Infrastructure Attack,Utilities,6,19
18271,Bombing/Explosion,Transportation,7,22
18272,Bombing/Explosion,Business,7,11
18273,Bombing/Explosion,Business,7,11
18274,Bombing/Explosion,Government (General),7,14
18275,Bombing/Explosion,Business,7,11
18276,Bombing/Explosion,Private Citizens & Property,7,16
18277,Bombing/Explosion,Business,7,11
18278,Armed Assault,Police,1,9
18279,Bombing/Explosion,Business,7,11
18280,Hostage Taking (Barricade Incident),Private Citizens & Property,5,16
18281,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
18282,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
18283,Hostage Taking (Kidnapping),Government (General),2,14
18284,Armed Assault,Government (General),1,14
18285,Armed Assault,Private Citizens & Property,1,16
18286,Armed Assault,Private Citizens & Property,1,16
18287,Facility/Infrastructure Attack,Private Citizens & Property,6,16
18288,Armed Assault,Private Citizens & Property,1,16
18289,Bombing/Explosion,Private Citizens & Property,7,16
18290,Bombing/Explosion,Business,7,11
18291,Bombing/Explosion,Utilities,7,19
18292,Bombing/Explosion,Religious Figures/Institutions,7,23
18293,Hostage Taking (Kidnapping),NGO,2,21
18294,Bombing/Explosion,Business,7,11
18295,Bombing/Explosion,Food or Water Supply,7,24
18296,Facility/Infrastructure Attack,Transportation,6,22
18297,Armed Assault,Journalists & Media,1,18
18298,Facility/Infrastructure Attack,Private Citizens & Property,6,16
18299,Bombing/Explosion,Transportation,7,22
18300,Facility/Infrastructure Attack,Private Citizens & Property,6,16
18301,Bombing/Explosion,Government (General),7,14
18302,Bombing/Explosion,Private Citizens & Property,7,16
18303,Bombing/Explosion,Utilities,7,19
18304,Bombing/Explosion,Business,7,11
18305,Bombing/Explosion,Government (General),7,14
18306,Armed Assault,Government (General),1,14
18307,Bombing/Explosion,Business,7,11
18308,Bombing/Explosion,Military,7,13
18309,Bombing/Explosion,Military,7,13
18310,Bombing/Explosion,Transportation,7,22
18311,Armed Assault,Private Citizens & Property,1,16
18312,Armed Assault,Police,1,9
18313,Armed Assault,Private Citizens & Property,1,16
18314,Bombing/Explosion,Religious Figures/Institutions,7,23
18315,Bombing/Explosion,Business,7,11
18316,Bombing/Explosion,Business,7,11
18317,Bombing/Explosion,Business,7,11
18318,Armed Assault,Government (General),1,14
18319,Armed Assault,Government (General),1,14
18320,Armed Assault,Private Citizens & Property,1,16
18321,Bombing/Explosion,Business,7,11
18322,Bombing/Explosion,Utilities,7,19
18323,Armed Assault,Private Citizens & Property,1,16
18324,Bombing/Explosion,Business,7,11
18325,Bombing/Explosion,Government (General),7,14
18326,Hijacking,Transportation,4,22
18327,Bombing/Explosion,Business,7,11
18328,Facility/Infrastructure Attack,Transportation,6,22
18329,Bombing/Explosion,Business,7,11
18330,Bombing/Explosion,Utilities,7,19
18331,Bombing/Explosion,Business,7,11
18332,Bombing/Explosion,Business,7,11
18333,Bombing/Explosion,Journalists & Media,7,18
18334,Hostage Taking (Kidnapping),Government (General),2,14
18335,Facility/Infrastructure Attack,Business,6,11
18336,Facility/Infrastructure Attack,Transportation,6,22
18337,Bombing/Explosion,Utilities,7,19
18338,Bombing/Explosion,Business,7,11
18339,Bombing/Explosion,Educational Institution,7,10
18340,Bombing/Explosion,Government (General),7,14
18341,Assassination,Private Citizens & Property,0,16
18342,Bombing/Explosion,Utilities,7,19
18343,Assassination,Government (General),0,14
18344,Bombing/Explosion,Government (General),7,14
18345,Assassination,Private Citizens & Property,0,16
18346,Armed Assault,Private Citizens & Property,1,16
18347,Bombing/Explosion,Government (General),7,14
18348,Bombing/Explosion,Government (General),7,14
18349,Bombing/Explosion,Business,7,11
18350,Bombing/Explosion,Business,7,11
18351,Assassination,Private Citizens & Property,0,16
18352,Bombing/Explosion,Business,7,11
18353,Bombing/Explosion,Private Citizens & Property,7,16
18354,Bombing/Explosion,Business,7,11
18355,Facility/Infrastructure Attack,Private Citizens & Property,6,16
18356,Facility/Infrastructure Attack,Transportation,6,22
18357,Bombing/Explosion,Police,7,9
18358,Armed Assault,Maritime,1,26
18359,Bombing/Explosion,Utilities,7,19
18360,Armed Assault,Police,1,9
18361,Bombing/Explosion,Utilities,7,19
18362,Bombing/Explosion,Airports & Aircraft,7,15
18363,Armed Assault,Private Citizens & Property,1,16
18364,Facility/Infrastructure Attack,Business,6,11
18365,Bombing/Explosion,Utilities,7,19
18366,Assassination,Government (General),0,14
18367,Bombing/Explosion,Transportation,7,22
18368,Bombing/Explosion,Business,7,11
18369,Bombing/Explosion,Utilities,7,19
18370,Bombing/Explosion,Utilities,7,19
18371,Bombing/Explosion,Government (General),7,14
18372,Armed Assault,Private Citizens & Property,1,16
18373,Armed Assault,Private Citizens & Property,1,16
18374,Armed Assault,Private Citizens & Property,1,16
18375,Bombing/Explosion,Private Citizens & Property,7,16
18376,Facility/Infrastructure Attack,Business,6,11
18377,Bombing/Explosion,Private Citizens & Property,7,16
18378,Armed Assault,Government (General),1,14
18379,Bombing/Explosion,Government (General),7,14
18380,Bombing/Explosion,Government (General),7,14
18381,Assassination,Government (General),0,14
18382,Facility/Infrastructure Attack,Utilities,6,19
18383,Assassination,Private Citizens & Property,0,16
18384,Bombing/Explosion,Government (General),7,14
18385,Bombing/Explosion,Private Citizens & Property,7,16
18386,Facility/Infrastructure Attack,Transportation,6,22
18387,Bombing/Explosion,Private Citizens & Property,7,16
18388,Assassination,Government (General),0,14
18389,Facility/Infrastructure Attack,Transportation,6,22
18390,Hostage Taking (Kidnapping),Government (General),2,14
18391,Facility/Infrastructure Attack,Business,6,11
18392,Armed Assault,Airports & Aircraft,1,15
18393,Armed Assault,Private Citizens & Property,1,16
18394,Bombing/Explosion,Business,7,11
18395,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
18396,Facility/Infrastructure Attack,Private Citizens & Property,6,16
18397,Bombing/Explosion,Utilities,7,19
18398,Armed Assault,NGO,1,21
18399,Facility/Infrastructure Attack,Business,6,11
18400,Bombing/Explosion,Business,7,11
18401,Armed Assault,NGO,1,21
18402,Hijacking,Transportation,4,22
18403,Bombing/Explosion,Business,7,11
18404,Armed Assault,NGO,1,21
18405,Armed Assault,Private Citizens & Property,1,16
18406,Armed Assault,Private Citizens & Property,1,16
18407,Bombing/Explosion,Business,7,11
18408,Bombing/Explosion,Government (General),7,14
18409,Armed Assault,Transportation,1,22
18410,Bombing/Explosion,Business,7,11
18411,Bombing/Explosion,Private Citizens & Property,7,16
18412,Facility/Infrastructure Attack,Transportation,6,22
18413,Bombing/Explosion,Private Citizens & Property,7,16
18414,Bombing/Explosion,Business,7,11
18415,Armed Assault,Police,1,9
18416,Bombing/Explosion,Business,7,11
18417,Bombing/Explosion,Business,7,11
18418,Assassination,Government (General),0,14
18419,Bombing/Explosion,NGO,7,21
18420,Bombing/Explosion,Business,7,11
18421,Hijacking,Transportation,4,22
18422,Hijacking,Transportation,4,22
18423,Bombing/Explosion,Private Citizens & Property,7,16
18424,Facility/Infrastructure Attack,Transportation,6,22
18425,Hostage Taking (Kidnapping),Government (General),2,14
18426,Facility/Infrastructure Attack,Business,6,11
18427,Bombing/Explosion,Private Citizens & Property,7,16
18428,Bombing/Explosion,Private Citizens & Property,7,16
18429,Facility/Infrastructure Attack,Transportation,6,22
18430,Bombing/Explosion,Private Citizens & Property,7,16
18431,Bombing/Explosion,Government (General),7,14
18432,Bombing/Explosion,Food or Water Supply,7,24
18433,Facility/Infrastructure Attack,Transportation,6,22
18434,Bombing/Explosion,Airports & Aircraft,7,15
18435,Hostage Taking (Kidnapping),Government (General),2,14
18436,Armed Assault,Government (General),1,14
18437,Armed Assault,Private Citizens & Property,1,16
18438,Hostage Taking (Kidnapping),Government (General),2,14
18439,Armed Assault,Private Citizens & Property,1,16
18440,Armed Assault,Private Citizens & Property,1,16
18441,Armed Assault,Private Citizens & Property,1,16
18442,Armed Assault,Military,1,13
18443,Bombing/Explosion,Utilities,7,19
18444,Bombing/Explosion,Government (General),7,14
18445,Bombing/Explosion,Government (General),7,14
18446,Bombing/Explosion,Government (General),7,14
18447,Bombing/Explosion,Private Citizens & Property,7,16
18448,Hostage Taking (Kidnapping),Religious Figures/Institutions,2,23
18449,Bombing/Explosion,Private Citizens & Property,7,16
18450,Hostage Taking (Kidnapping),Government (General),2,14
18451,Bombing/Explosion,Business,7,11
18452,Bombing/Explosion,Private Citizens & Property,7,16
18453,Bombing/Explosion,Military,7,13
18454,Bombing/Explosion,Religious Figures/Institutions,7,23
18455,Bombing/Explosion,Private Citizens & Property,7,16
18456,Armed Assault,Transportation,1,22
18457,Bombing/Explosion,Business,7,11
18458,Facility/Infrastructure Attack,Business,6,11
18459,Bombing/Explosion,Government (General),7,14
18460,Bombing/Explosion,Business,7,11
18461,Bombing/Explosion,Business,7,11
18462,Bombing/Explosion,Business,7,11
18463,Facility/Infrastructure Attack,Transportation,6,22
18464,Armed Assault,Business,1,11
18465,Bombing/Explosion,Business,7,11
18466,Assassination,Government (General),0,14
18467,Bombing/Explosion,Business,7,11
18468,Armed Assault,Private Citizens & Property,1,16
18469,Bombing/Explosion,Private Citizens & Property,7,16
18470,Bombing/Explosion,Private Citizens & Property,7,16
18471,Assassination,Government (General),0,14
18472,Bombing/Explosion,Private Citizens & Property,7,16
18473,Bombing/Explosion,Utilities,7,19
18474,Bombing/Explosion,Utilities,7,19
18475,Bombing/Explosion,Private Citizens & Property,7,16
18476,Bombing/Explosion,Business,7,11
18477,Armed Assault,Transportation,1,22
18478,Bombing/Explosion,Private Citizens & Property,7,16
18479,Bombing/Explosion,Government (General),7,14
18480,Assassination,Police,0,9
18481,Bombing/Explosion,Private Citizens & Property,7,16
18482,Bombing/Explosion,Religious Figures/Institutions,7,23
18483,Bombing/Explosion,Utilities,7,19
18484,Unknown,Private Citizens & Property,3,16
18485,Unknown,Private Citizens & Property,27,16
18486,Unknown,Private Citizens & Property,3,16
18487,Unknown,Private Citizens & Property,27,16
18488,Bombing/Explosion,Private Citizens & Property,7,16
18489,Bombing/Explosion,Private Citizens & Property,7,16
18490,Armed Assault,Private Citizens & Property,1,16
18491,Armed Assault,Private Citizens & Property,1,16
18492,Hostage Taking (Kidnapping),Business,2,11
18493,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
18494,Bombing/Explosion,Private Citizens & Property,7,16
18495,Bombing/Explosion,Religious Figures/Institutions,7,23
18496,Bombing/Explosion,Business,7,11
18497,Armed Assault,Police,1,9
18498,Bombing/Explosion,Utilities,7,19
18499,Bombing/Explosion,Private Citizens & Property,7,16
18500,Bombing/Explosion,Utilities,7,19
18501,Bombing/Explosion,Utilities,7,19
18502,Facility/Infrastructure Attack,Government (General),6,14
18503,Facility/Infrastructure Attack,Business,6,11
18504,Bombing/Explosion,Utilities,7,19
18505,Bombing/Explosion,Business,7,11
18506,Bombing/Explosion,Business,7,11
18507,Bombing/Explosion,Business,7,11
18508,Bombing/Explosion,Business,7,11
18509,Facility/Infrastructure Attack,Business,6,11
18510,Hostage Taking (Kidnapping),Government (General),2,14
18511,Hostage Taking (Kidnapping),NGO,2,21
18512,Armed Assault,Business,1,11
18513,Armed Assault,Government (General),1,14
18514,Bombing/Explosion,Utilities,7,19
18515,Bombing/Explosion,Business,7,11
18516,Bombing/Explosion,Business,7,11
18517,Bombing/Explosion,Utilities,7,19
18518,Bombing/Explosion,Transportation,7,22
18519,Bombing/Explosion,Business,7,11
18520,Armed Assault,Police,1,9
18521,Bombing/Explosion,Military,7,13
18522,Bombing/Explosion,Military,7,13
18523,Armed Assault,Private Citizens & Property,1,16
18524,Bombing/Explosion,Journalists & Media,7,18
18525,Bombing/Explosion,Utilities,7,19
18526,Bombing/Explosion,Journalists & Media,7,18
18527,Bombing/Explosion,Utilities,7,19
18528,Bombing/Explosion,Utilities,7,19
18529,Armed Assault,Private Citizens & Property,1,16
18530,Bombing/Explosion,Journalists & Media,7,18
18531,Bombing/Explosion,Utilities,7,19
18532,Bombing/Explosion,Airports & Aircraft,7,15
18533,Armed Assault,Police,1,9
18534,Facility/Infrastructure Attack,Business,6,11
18535,Bombing/Explosion,Utilities,7,19
18536,Hostage Taking (Kidnapping),Educational Institution,2,10
18537,Bombing/Explosion,Telecommunication,7,17
18538,Bombing/Explosion,Government (General),7,14
18539,Bombing/Explosion,Transportation,7,22
18540,Assassination,Airports & Aircraft,0,15
18541,Bombing/Explosion,Military,7,13
18542,Bombing/Explosion,Military,7,13
18543,Hostage Taking (Kidnapping),Police,2,9
18544,Facility/Infrastructure Attack,Transportation,6,22
18545,Bombing/Explosion,Police,7,9
18546,Bombing/Explosion,Business,7,11
18547,Bombing/Explosion,Transportation,7,22
18548,Bombing/Explosion,Transportation,7,22
18549,Bombing/Explosion,Utilities,7,19
18550,Bombing/Explosion,Transportation,7,22
18551,Bombing/Explosion,Utilities,7,19
18552,Hostage Taking (Kidnapping),Government (General),2,14
18553,Bombing/Explosion,Utilities,7,19
18554,Facility/Infrastructure Attack,Business,6,11
18555,Facility/Infrastructure Attack,Business,6,11
18556,Bombing/Explosion,Utilities,7,19
18557,Bombing/Explosion,Government (General),7,14
18558,Bombing/Explosion,Utilities,7,19
18559,Assassination,Government (General),0,14
18560,Armed Assault,Police,1,9
18561,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
18562,Bombing/Explosion,Military,7,13
18563,Bombing/Explosion,Military,7,13
18564,Bombing/Explosion,Military,7,13
18565,Facility/Infrastructure Attack,Business,6,11
18566,Facility/Infrastructure Attack,Business,6,11
