,source,target,source_id,target_id
0,Assassination,Police,0,9
1,Armed Assault,Educational Institution,1,10
2,Hostage Taking (Kidnapping),Business,2,11
3,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
4,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
5,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
6,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
7,Armed Assault,Military,1,13
8,Assassination,Government (Diplomatic),0,12
9,Assassination,Military,0,13
10,Hostage Taking (Kidnapping),Government (General),2,14
11,Armed Assault,Military,1,13
12,Assassination,Government (General),0,14
13,Hostage Taking (Kidnapping),Business,2,11
14,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
15,Unknown,Government (Diplomatic),3,12
16,Unknown,Government (Diplomatic),27,12
17,Hijacking,Airports & Aircraft,4,15
18,Hostage Taking (Kidnapping),Government (General),2,14
19,Hostage Taking (Kidnapping),Business,2,11
20,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
21,Hostage Taking (Kidnapping),Government (General),2,14
22,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
23,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
24,Hostage Taking (Kidnapping),Government (General),2,14
25,Armed Assault,Private Citizens & Property,1,16
26,Assassination,Police,0,9
27,Armed Assault,Business,1,11
28,Hostage Taking (Kidnapping),Government (General),2,14
29,Hostage Taking (Barricade Incident),Telecommunication,5,17
30,Facility/Infrastructure Attack,Business,6,11
31,Assassination,Government (General),0,14
32,Bombing/Explosion,Government (Diplomatic),7,12
33,Bombing/Explosion,Business,7,11
34,Hostage Taking (Kidnapping),Journalists & Media,2,18
35,Facility/Infrastructure Attack,Business,6,11
36,Facility/Infrastructure Attack,Business,6,11
37,Armed Assault,Police,1,9
38,Facility/Infrastructure Attack,Business,6,11
39,Hostage Taking (Kidnapping),Police,2,9
40,Facility/Infrastructure Attack,Business,6,11
41,Facility/Infrastructure Attack,Journalists & Media,6,18
42,Facility/Infrastructure Attack,Business,6,11
43,Facility/Infrastructure Attack,Airports & Aircraft,6,15
44,Facility/Infrastructure Attack,Business,6,11
45,Facility/Infrastructure Attack,Government (General),6,14
46,Bombing/Explosion,Government (Diplomatic),7,12
47,Assassination,Private Citizens & Property,0,16
48,Armed Assault,Private Citizens & Property,1,16
49,Armed Assault,Private Citizens & Property,1,16
50,Assassination,Police,0,9
51,Bombing/Explosion,Government (General),7,14
52,Bombing/Explosion,Government (General),7,14
53,Armed Assault,Military,1,13
54,Armed Assault,Business,1,11
55,Facility/Infrastructure Attack,Business,6,11
56,Armed Assault,Business,1,11
57,Bombing/Explosion,Business,7,11
58,Bombing/Explosion,Business,7,11
59,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
60,Bombing/Explosion,Business,7,11
61,Bombing/Explosion,Business,7,11
62,Bombing/Explosion,Educational Institution,7,10
63,Assassination,Journalists & Media,0,18
64,Bombing/Explosion,Business,7,11
65,Armed Assault,Business,1,11
66,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
67,Assassination,Police,0,9
68,Armed Assault,Business,1,11
69,Armed Assault,Educational Institution,1,10
70,Armed Assault,Journalists & Media,1,18
71,Armed Assault,Educational Institution,1,10
72,Bombing/Explosion,Business,7,11
73,Hostage Taking (Kidnapping),Business,2,11
74,Hostage Taking (Kidnapping),Business,2,11
75,Hostage Taking (Kidnapping),Business,2,11
76,Hostage Taking (Kidnapping),Business,2,11
77,Hostage Taking (Kidnapping),Government (General),2,14
78,Armed Assault,Journalists & Media,1,18
79,Bombing/Explosion,Journalists & Media,7,18
80,Armed Assault,Police,1,9
81,Armed Assault,Military,1,13
82,Hostage Taking (Kidnapping),Business,2,11
83,Bombing/Explosion,Military,7,13
84,Hostage Taking (Kidnapping),Business,2,11
85,Hostage Taking (Kidnapping),Business,2,11
86,Assassination,Military,0,13
87,Facility/Infrastructure Attack,Business,6,11
88,Facility/Infrastructure Attack,Business,6,11
89,Armed Assault,Government (Diplomatic),1,12
90,Armed Assault,Private Citizens & Property,1,16
91,Armed Assault,Military,1,13
92,Hostage Taking (Kidnapping),Business,2,11
93,Assassination,Military,0,13
94,Bombing/Explosion,Business,7,11
95,Bombing/Explosion,Business,7,11
96,Bombing/Explosion,Business,7,11
97,Bombing/Explosion,Business,7,11
98,Armed Assault,Military,1,13
99,Hostage Taking (Kidnapping),Business,2,11
100,Bombing/Explosion,Business,7,11
101,Assassination,Government (Diplomatic),0,12
102,Hostage Taking (Kidnapping),Journalists & Media,2,18
103,Bombing/Explosion,Business,7,11
104,Bombing/Explosion,Business,7,11
105,Bombing/Explosion,Business,7,11
106,Hostage Taking (Kidnapping),Educational Institution,2,10
107,Assassination,Military,0,13
108,Assassination,Private Citizens & Property,0,16
109,Hostage Taking (Kidnapping),Business,2,11
110,Hostage Taking (Kidnapping),Business,2,11
111,Hostage Taking (Kidnapping),Business,2,11
112,Hostage Taking (Kidnapping),Business,2,11
113,Bombing/Explosion,Government (General),7,14
114,Assassination,Private Citizens & Property,0,16
115,Assassination,Military,0,13
116,Armed Assault,Government (Diplomatic),1,12
117,Assassination,Private Citizens & Property,0,16
118,Armed Assault,Military,1,13
119,Armed Assault,Utilities,1,19
120,Hostage Taking (Kidnapping),Business,2,11
121,Bombing/Explosion,Educational Institution,7,10
122,Bombing/Explosion,Military,7,13
123,Hostage Taking (Kidnapping),Business,2,11
124,Hostage Taking (Kidnapping),Military,2,13
125,Hostage Taking (Kidnapping),Military,2,13
126,Assassination,Military,0,13
127,Hostage Taking (Kidnapping),Military,2,13
128,Hostage Taking (Kidnapping),Business,2,11
129,Facility/Infrastructure Attack,Military,6,13
130,Facility/Infrastructure Attack,Police,6,9
131,Armed Assault,Other,1,20
132,Hostage Taking (Kidnapping),Police,2,9
133,Assassination,Military,0,13
134,Bombing/Explosion,Business,7,11
135,Bombing/Explosion,Business,7,11
136,Facility/Infrastructure Attack,Government (Diplomatic),6,12
137,Hijacking,Airports & Aircraft,4,15
138,Hostage Taking (Kidnapping),Business,2,11
139,Hostage Taking (Kidnapping),Business,2,11
140,Hostage Taking (Kidnapping),Business,2,11
141,Assassination,Private Citizens & Property,0,16
142,Hostage Taking (Kidnapping),Business,2,11
143,Bombing/Explosion,Business,7,11
144,Hijacking,Airports & Aircraft,4,15
145,Armed Assault,Educational Institution,1,10
146,Bombing/Explosion,Government (Diplomatic),7,12
147,Hijacking,Airports & Aircraft,4,15
148,Armed Assault,Government (Diplomatic),1,12
149,Armed Assault,Government (Diplomatic),1,12
150,Bombing/Explosion,Government (Diplomatic),7,12
151,Bombing/Explosion,Government (Diplomatic),7,12
152,Assassination,Private Citizens & Property,0,16
153,Bombing/Explosion,Government (Diplomatic),7,12
154,Bombing/Explosion,Private Citizens & Property,7,16
155,Bombing/Explosion,Government (Diplomatic),7,12
156,Bombing/Explosion,Government (Diplomatic),7,12
157,Bombing/Explosion,Military,7,13
158,Armed Assault,Airports & Aircraft,1,15
159,Facility/Infrastructure Attack,Government (General),6,14
160,Bombing/Explosion,Government (Diplomatic),7,12
161,Assassination,Private Citizens & Property,0,16
162,Hostage Taking (Kidnapping),Journalists & Media,2,18
163,Assassination,Military,0,13
164,Armed Assault,Military,1,13
165,Armed Assault,Journalists & Media,1,18
166,Assassination,Government (General),0,14
167,Hostage Taking (Kidnapping),Business,2,11
168,Bombing/Explosion,Airports & Aircraft,7,15
169,Hostage Taking (Kidnapping),Business,2,11
170,Assassination,Police,0,9
171,Facility/Infrastructure Attack,Business,6,11
172,Bombing/Explosion,Business,7,11
173,Bombing/Explosion,Business,7,11
174,Bombing/Explosion,Business,7,11
175,Bombing/Explosion,Business,7,11
176,Assassination,Business,0,11
177,Hostage Taking (Kidnapping),Business,2,11
178,Hostage Taking (Kidnapping),Military,2,13
179,Hostage Taking (Kidnapping),Business,2,11
180,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
181,Assassination,Government (General),0,14
182,Assassination,Business,0,11
183,Hostage Taking (Kidnapping),Business,2,11
184,Bombing/Explosion,Utilities,7,19
185,Assassination,NGO,0,21
186,Hostage Taking (Kidnapping),Business,2,11
187,Hostage Taking (Kidnapping),Business,2,11
188,Facility/Infrastructure Attack,Government (Diplomatic),6,12
189,Hostage Taking (Barricade Incident),Private Citizens & Property,5,16
190,Bombing/Explosion,Military,7,13
191,Hostage Taking (Kidnapping),Business,2,11
192,Hostage Taking (Kidnapping),Business,2,11
193,Hostage Taking (Kidnapping),Military,2,13
194,Hostage Taking (Kidnapping),Business,2,11
195,Hostage Taking (Kidnapping),Business,2,11
196,Bombing/Explosion,Transportation,7,22
197,Hostage Taking (Kidnapping),Business,2,11
198,Bombing/Explosion,Private Citizens & Property,7,16
199,Hostage Taking (Kidnapping),Military,2,13
200,Armed Assault,Police,1,9
201,Bombing/Explosion,Religious Figures/Institutions,7,23
202,Bombing/Explosion,Police,7,9
203,Bombing/Explosion,Journalists & Media,7,18
204,Assassination,Private Citizens & Property,0,16
205,Bombing/Explosion,Business,7,11
206,Bombing/Explosion,Business,7,11
207,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
208,Bombing/Explosion,Utilities,7,19
209,Facility/Infrastructure Attack,Business,6,11
210,Facility/Infrastructure Attack,Business,6,11
211,Bombing/Explosion,Government (Diplomatic),7,12
212,Bombing/Explosion,Business,7,11
213,Hostage Taking (Kidnapping),Business,2,11
214,Hostage Taking (Kidnapping),Business,2,11
215,Assassination,Business,0,11
216,Hostage Taking (Kidnapping),Business,2,11
217,Hostage Taking (Kidnapping),Government (General),2,14
218,Hostage Taking (Barricade Incident),Government (Diplomatic),5,12
219,Armed Assault,Military,1,13
220,Assassination,Government (General),0,14
221,Assassination,Private Citizens & Property,0,16
222,Hostage Taking (Kidnapping),Government (General),2,14
223,Assassination,Private Citizens & Property,0,16
224,Armed Assault,Private Citizens & Property,1,16
225,Hostage Taking (Kidnapping),Business,2,11
226,Assassination,Private Citizens & Property,0,16
227,Hostage Taking (Kidnapping),Business,2,11
228,Assassination,Private Citizens & Property,0,16
229,Bombing/Explosion,Business,7,11
230,Bombing/Explosion,Business,7,11
231,Bombing/Explosion,Business,7,11
232,Bombing/Explosion,Business,7,11
233,Bombing/Explosion,Business,7,11
234,Bombing/Explosion,Business,7,11
235,Bombing/Explosion,Business,7,11
236,Bombing/Explosion,Business,7,11
237,Bombing/Explosion,Business,7,11
238,Assassination,Business,0,11
239,Hostage Taking (Kidnapping),Journalists & Media,2,18
240,Hostage Taking (Kidnapping),Business,2,11
241,Hostage Taking (Kidnapping),Business,2,11
242,Assassination,Business,0,11
243,Bombing/Explosion,Government (Diplomatic),7,12
244,Bombing/Explosion,Government (Diplomatic),7,12
245,Bombing/Explosion,Government (Diplomatic),7,12
246,Bombing/Explosion,Business,7,11
247,Bombing/Explosion,Business,7,11
248,Bombing/Explosion,Business,7,11
249,Bombing/Explosion,Business,7,11
250,Bombing/Explosion,Business,7,11
251,Bombing/Explosion,Business,7,11
252,Bombing/Explosion,Business,7,11
253,Bombing/Explosion,Business,7,11
254,Bombing/Explosion,Business,7,11
255,Bombing/Explosion,Business,7,11
256,Bombing/Explosion,Business,7,11
257,Bombing/Explosion,Business,7,11
258,Hostage Taking (Kidnapping),Business,2,11
259,Bombing/Explosion,Government (Diplomatic),7,12
260,Assassination,Government (General),0,14
261,Assassination,Military,0,13
262,Hostage Taking (Kidnapping),Business,2,11
263,Assassination,Business,0,11
264,Bombing/Explosion,Government (Diplomatic),7,12
265,Bombing/Explosion,Business,7,11
266,Bombing/Explosion,Business,7,11
267,Bombing/Explosion,Government (Diplomatic),7,12
268,Bombing/Explosion,Government (Diplomatic),7,12
269,Bombing/Explosion,Government (Diplomatic),7,12
270,Bombing/Explosion,Business,7,11
271,Bombing/Explosion,Business,7,11
272,Bombing/Explosion,Business,7,11
273,Armed Assault,Business,1,11
274,Assassination,Government (Diplomatic),0,12
275,Armed Assault,Police,1,9
276,Bombing/Explosion,Business,7,11
277,Bombing/Explosion,Business,7,11
278,Bombing/Explosion,Business,7,11
279,Bombing/Explosion,Business,7,11
280,Bombing/Explosion,Business,7,11
281,Bombing/Explosion,Business,7,11
282,Bombing/Explosion,Business,7,11
283,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
284,Armed Assault,Private Citizens & Property,1,16
285,Bombing/Explosion,Business,7,11
286,Facility/Infrastructure Attack,Business,6,11
287,Assassination,Government (General),0,14
288,Armed Assault,Military,1,13
289,Bombing/Explosion,Business,7,11
290,Bombing/Explosion,Private Citizens & Property,7,16
291,Armed Assault,Police,1,9
292,Bombing/Explosion,Business,7,11
293,Bombing/Explosion,Business,7,11
294,Armed Assault,Private Citizens & Property,1,16
295,Bombing/Explosion,Business,7,11
296,Armed Assault,Private Citizens & Property,1,16
297,Unknown,Food or Water Supply,3,24
298,Unknown,Food or Water Supply,27,24
299,Armed Assault,Military,1,13
300,Bombing/Explosion,Government (Diplomatic),7,12
301,Bombing/Explosion,Government (Diplomatic),7,12
302,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
303,Bombing/Explosion,Government (General),7,14
304,Assassination,Police,0,9
305,Bombing/Explosion,Business,7,11
306,Bombing/Explosion,Government (Diplomatic),7,12
307,Armed Assault,Military,1,13
308,Bombing/Explosion,Military,7,13
309,Bombing/Explosion,Business,7,11
310,Facility/Infrastructure Attack,Government (General),6,14
311,Assassination,Government (General),0,14
312,Hostage Taking (Kidnapping),Business,2,11
313,Hostage Taking (Kidnapping),Business,2,11
314,Bombing/Explosion,Government (Diplomatic),7,12
315,Assassination,Government (Diplomatic),0,12
316,Armed Assault,Private Citizens & Property,1,16
317,Bombing/Explosion,Military,7,13
318,Assassination,Military,0,13
319,Bombing/Explosion,Journalists & Media,7,18
320,Armed Assault,Military,1,13
321,Armed Assault,Government (Diplomatic),1,12
322,Assassination,Business,0,11
323,Hostage Taking (Kidnapping),Business,2,11
324,Hostage Taking (Barricade Incident),Journalists & Media,5,18
325,Armed Assault,Private Citizens & Property,1,16
326,Bombing/Explosion,Telecommunication,7,17
327,Bombing/Explosion,Government (Diplomatic),7,12
328,Armed Assault,Police,1,9
329,Armed Assault,Military,1,13
330,Armed Assault,Military,1,13
331,Armed Assault,Private Citizens & Property,1,16
332,Armed Assault,Police,1,9
333,Hostage Taking (Kidnapping),Business,2,11
334,Armed Assault,Private Citizens & Property,1,16
335,Bombing/Explosion,Private Citizens & Property,7,16
336,Bombing/Explosion,Business,7,11
337,Assassination,Business,0,11
338,Bombing/Explosion,Government (Diplomatic),7,12
339,Armed Assault,Police,1,9
340,Bombing/Explosion,Utilities,7,19
341,Assassination,Military,0,13
342,Assassination,Business,0,11
343,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
344,Armed Assault,Government (Diplomatic),1,12
345,Hostage Taking (Kidnapping),Business,2,11
346,Bombing/Explosion,Transportation,7,22
347,Assassination,Military,0,13
348,Bombing/Explosion,Business,7,11
349,Armed Assault,Military,1,13
350,Bombing/Explosion,Military,7,13
351,Assassination,Police,0,9
352,Assassination,Government (Diplomatic),0,12
353,Hostage Taking (Kidnapping),Police,2,9
354,Bombing/Explosion,Business,7,11
355,Assassination,Business,0,11
356,Assassination,Police,0,9
357,Hostage Taking (Kidnapping),Journalists & Media,2,18
358,Armed Assault,Military,1,13
359,Armed Assault,Government (Diplomatic),1,12
360,Bombing/Explosion,Business,7,11
361,Hostage Taking (Kidnapping),Journalists & Media,2,18
362,Assassination,Business,0,11
363,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
364,Armed Assault,Government (General),1,14
365,Armed Assault,Private Citizens & Property,1,16
366,Hostage Taking (Kidnapping),Government (General),2,14
367,Armed Assault,Private Citizens & Property,1,16
368,Assassination,Government (General),0,14
369,Assassination,Government (Diplomatic),0,12
370,Assassination,Educational Institution,0,10
371,Hostage Taking (Kidnapping),Government (General),2,14
372,Assassination,Police,0,9
373,Bombing/Explosion,Government (Diplomatic),7,12
374,Hostage Taking (Kidnapping),Religious Figures/Institutions,2,23
375,Bombing/Explosion,Police,7,9
376,Bombing/Explosion,Government (General),7,14
377,Bombing/Explosion,Airports & Aircraft,7,15
378,Bombing/Explosion,Business,7,11
379,Bombing/Explosion,Business,7,11
380,Bombing/Explosion,Educational Institution,7,10
381,Bombing/Explosion,Business,7,11
382,Bombing/Explosion,Journalists & Media,7,18
383,Bombing/Explosion,Private Citizens & Property,7,16
384,Armed Assault,Terrorists/Non-State Militia,1,25
385,Assassination,Government (General),0,14
386,Bombing/Explosion,Business,7,11
387,Bombing/Explosion,Business,7,11
388,Bombing/Explosion,Business,7,11
389,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
390,Bombing/Explosion,Private Citizens & Property,7,16
391,Assassination,Government (Diplomatic),0,12
392,Facility/Infrastructure Attack,Government (Diplomatic),6,12
393,Assassination,Business,0,11
394,Assassination,Police,0,9
395,Bombing/Explosion,Police,7,9
396,Assassination,Business,0,11
397,Assassination,Business,0,11
398,Facility/Infrastructure Attack,Government (Diplomatic),6,12
399,Armed Assault,Business,1,11
400,Hostage Taking (Kidnapping),Religious Figures/Institutions,2,23
401,Assassination,Government (Diplomatic),0,12
402,Bombing/Explosion,Government (Diplomatic),7,12
403,Hostage Taking (Kidnapping),Business,2,11
404,Assassination,Government (General),0,14
405,Bombing/Explosion,Business,7,11
406,Bombing/Explosion,Business,7,11
407,Bombing/Explosion,Business,7,11
408,Armed Assault,Government (Diplomatic),1,12
409,Assassination,Business,0,11
410,Bombing/Explosion,Military,7,13
411,Bombing/Explosion,Business,7,11
412,Armed Assault,Military,1,13
413,Armed Assault,Government (Diplomatic),1,12
414,Assassination,Terrorists/Non-State Militia,0,25
415,Assassination,Business,0,11
416,Assassination,Police,0,9
417,Hostage Taking (Kidnapping),Business,2,11
418,Assassination,Government (Diplomatic),0,12
419,Assassination,Journalists & Media,0,18
420,Bombing/Explosion,Police,7,9
421,Bombing/Explosion,Airports & Aircraft,7,15
422,Assassination,Business,0,11
423,Armed Assault,Government (Diplomatic),1,12
424,Bombing/Explosion,Airports & Aircraft,7,15
425,Bombing/Explosion,Business,7,11
426,Hostage Taking (Kidnapping),Business,2,11
427,Bombing/Explosion,Business,7,11
428,Hostage Taking (Kidnapping),Government (General),2,14
429,Assassination,Government (General),0,14
430,Bombing/Explosion,Military,7,13
431,Assassination,Government (Diplomatic),0,12
432,Hostage Taking (Kidnapping),Business,2,11
433,Bombing/Explosion,Business,7,11
434,Bombing/Explosion,Government (Diplomatic),7,12
435,Hostage Taking (Kidnapping),Business,2,11
436,Bombing/Explosion,Business,7,11
437,Bombing/Explosion,Military,7,13
438,Bombing/Explosion,Telecommunication,7,17
439,Assassination,Business,0,11
440,Assassination,Business,0,11
441,Bombing/Explosion,Private Citizens & Property,7,16
442,Bombing/Explosion,Private Citizens & Property,7,16
443,Bombing/Explosion,Educational Institution,7,10
444,Bombing/Explosion,Educational Institution,7,10
445,Bombing/Explosion,Educational Institution,7,10
446,Bombing/Explosion,Government (General),7,14
447,Bombing/Explosion,Government (General),7,14
448,Bombing/Explosion,Government (General),7,14
449,Bombing/Explosion,Government (General),7,14
450,Assassination,Government (Diplomatic),0,12
451,Assassination,Military,0,13
452,Hijacking,Airports & Aircraft,4,15
453,Bombing/Explosion,Private Citizens & Property,7,16
454,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
455,Bombing/Explosion,Business,7,11
456,Bombing/Explosion,Business,7,11
457,Bombing/Explosion,Business,7,11
458,Bombing/Explosion,Business,7,11
459,Bombing/Explosion,Business,7,11
460,Bombing/Explosion,Maritime,7,26
461,Bombing/Explosion,Telecommunication,7,17
462,Armed Assault,Military,1,13
463,Bombing/Explosion,Utilities,7,19
464,Bombing/Explosion,Utilities,7,19
465,Bombing/Explosion,Business,7,11
466,Bombing/Explosion,Business,7,11
467,Bombing/Explosion,Business,7,11
468,Armed Assault,Police,1,9
469,Bombing/Explosion,Transportation,7,22
470,Bombing/Explosion,Government (General),7,14
471,Bombing/Explosion,Government (General),7,14
472,Bombing/Explosion,Private Citizens & Property,7,16
473,Facility/Infrastructure Attack,Government (General),6,14
474,Assassination,Business,0,11
475,Assassination,Terrorists/Non-State Militia,0,25
476,Bombing/Explosion,Utilities,7,19
477,Bombing/Explosion,Utilities,7,19
478,Bombing/Explosion,Utilities,7,19
479,Assassination,Private Citizens & Property,0,16
480,Assassination,Private Citizens & Property,0,16
481,Assassination,Government (General),0,14
482,Armed Assault,Private Citizens & Property,1,16
483,Bombing/Explosion,Utilities,7,19
484,Bombing/Explosion,Utilities,7,19
485,Hostage Taking (Kidnapping),Business,2,11
486,Hostage Taking (Kidnapping),Business,2,11
487,Bombing/Explosion,Business,7,11
488,Bombing/Explosion,Utilities,7,19
489,Bombing/Explosion,Utilities,7,19
490,Bombing/Explosion,Utilities,7,19
491,Assassination,Police,0,9
492,Bombing/Explosion,Utilities,7,19
493,Hostage Taking (Kidnapping),Business,2,11
494,Armed Assault,Private Citizens & Property,1,16
495,Assassination,Private Citizens & Property,0,16
496,Assassination,Business,0,11
497,Bombing/Explosion,Transportation,7,22
498,Hostage Taking (Kidnapping),Business,2,11
499,Bombing/Explosion,Utilities,7,19
500,Bombing/Explosion,Utilities,7,19
501,Bombing/Explosion,Utilities,7,19
502,Assassination,Business,0,11
503,Assassination,Police,0,9
504,Armed Assault,Military,1,13
505,Bombing/Explosion,Utilities,7,19
506,Hostage Taking (Barricade Incident),Government (General),5,14
507,Hostage Taking (Kidnapping),Business,2,11
508,Hostage Taking (Kidnapping),Business,2,11
509,Bombing/Explosion,Business,7,11
510,Assassination,Business,0,11
511,Armed Assault,Private Citizens & Property,1,16
512,Hostage Taking (Kidnapping),Telecommunication,2,17
513,Hostage Taking (Kidnapping),Business,2,11
514,Hostage Taking (Kidnapping),Business,2,11
515,Hostage Taking (Kidnapping),Business,2,11
516,Hostage Taking (Kidnapping),Business,2,11
517,Hostage Taking (Kidnapping),Business,2,11
518,Bombing/Explosion,Journalists & Media,7,18
519,Hostage Taking (Kidnapping),Business,2,11
520,Hostage Taking (Kidnapping),Educational Institution,2,10
521,Hostage Taking (Kidnapping),Business,2,11
522,Hostage Taking (Kidnapping),Business,2,11
523,Hostage Taking (Kidnapping),Business,2,11
524,Armed Assault,Police,1,9
525,Assassination,Business,0,11
526,Facility/Infrastructure Attack,Business,6,11
527,Facility/Infrastructure Attack,Business,6,11
528,Facility/Infrastructure Attack,Business,6,11
529,Bombing/Explosion,Government (Diplomatic),7,12
530,Armed Assault,Private Citizens & Property,1,16
531,Hostage Taking (Kidnapping),Religious Figures/Institutions,2,23
532,Hostage Taking (Kidnapping),Religious Figures/Institutions,2,23
533,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
534,Bombing/Explosion,Business,7,11
535,Armed Assault,Private Citizens & Property,1,16
536,Armed Assault,Private Citizens & Property,1,16
537,Armed Assault,Private Citizens & Property,1,16
538,Hostage Taking (Kidnapping),Business,2,11
539,Hostage Taking (Kidnapping),Business,2,11
540,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
541,Assassination,Private Citizens & Property,0,16
542,Bombing/Explosion,Business,7,11
543,Hostage Taking (Barricade Incident),Business,5,11
544,Bombing/Explosion,Private Citizens & Property,7,16
545,Bombing/Explosion,Private Citizens & Property,7,16
546,Bombing/Explosion,Private Citizens & Property,7,16
547,Bombing/Explosion,Journalists & Media,7,18
548,Armed Assault,Government (Diplomatic),1,12
549,Hostage Taking (Kidnapping),Business,2,11
550,Armed Assault,Private Citizens & Property,1,16
551,Hostage Taking (Barricade Incident),Transportation,5,22
552,Unknown,Private Citizens & Property,3,16
553,Unknown,Private Citizens & Property,27,16
554,Armed Assault,Police,1,9
555,Assassination,Police,0,9
556,Assassination,Police,0,9
557,Hostage Taking (Barricade Incident),Government (General),5,14
558,Armed Assault,Transportation,1,22
559,Bombing/Explosion,Religious Figures/Institutions,7,23
560,Hostage Taking (Barricade Incident),Transportation,5,22
561,Hostage Taking (Barricade Incident),Transportation,5,22
562,Facility/Infrastructure Attack,Military,6,13
563,Unknown,Police,3,9
564,Unknown,Police,27,9
565,Armed Assault,Airports & Aircraft,1,15
566,Assassination,Government (General),0,14
567,Armed Assault,Police,1,9
568,Hostage Taking (Barricade Incident),Transportation,5,22
569,Armed Assault,Private Citizens & Property,1,16
570,Hostage Taking (Barricade Incident),Utilities,5,19
571,Hostage Taking (Barricade Incident),Transportation,5,22
572,Hostage Taking (Kidnapping),Business,2,11
573,Armed Assault,Government (General),1,14
574,Bombing/Explosion,Airports & Aircraft,7,15
575,Hostage Taking (Kidnapping),Business,2,11
576,Armed Assault,Police,1,9
577,Bombing/Explosion,Government (General),7,14
578,Bombing/Explosion,Government (General),7,14
579,Armed Assault,Police,1,9
580,Bombing/Explosion,Government (General),7,14
581,Bombing/Explosion,Government (General),7,14
582,Assassination,Journalists & Media,0,18
583,Bombing/Explosion,Business,7,11
584,Armed Assault,Government (General),1,14
585,Hostage Taking (Barricade Incident),Telecommunication,5,17
586,Bombing/Explosion,Business,7,11
587,Bombing/Explosion,Government (General),7,14
588,Armed Assault,Military,1,13
589,Hostage Taking (Barricade Incident),Business,5,11
590,Armed Assault,Police,1,9
591,Bombing/Explosion,Government (General),7,14
592,Bombing/Explosion,Government (General),7,14
593,Hostage Taking (Kidnapping),Government (General),2,14
594,Bombing/Explosion,Government (General),7,14
595,Armed Assault,Private Citizens & Property,1,16
596,Hostage Taking (Kidnapping),Business,2,11
597,Assassination,Government (General),0,14
598,Armed Assault,Police,1,9
599,Hostage Taking (Kidnapping),Journalists & Media,2,18
600,Armed Assault,Private Citizens & Property,1,16
601,Assassination,Educational Institution,0,10
602,Hostage Taking (Kidnapping),Business,2,11
603,Bombing/Explosion,Government (General),7,14
604,Bombing/Explosion,Government (General),7,14
605,Bombing/Explosion,Educational Institution,7,10
606,Bombing/Explosion,Police,7,9
607,Bombing/Explosion,Police,7,9
608,Assassination,Government (General),0,14
609,Bombing/Explosion,Private Citizens & Property,7,16
610,Bombing/Explosion,Government (Diplomatic),7,12
611,Hostage Taking (Kidnapping),Private Citizens & Property,2,16
612,Assassination,Private Citizens & Property,0,16
613,Assassination,Government (General),0,14
614,Assassination,Police,0,9
615,Bombing/Explosion,Government (General),7,14
616,Bombing/Explosion,Business,7,11
617,Hostage Taking (Barricade Incident),Government (General),5,14
618,Bombing/Explosion,Business,7,11
619,Bombing/Explosion,Government (General),7,14
620,Bombing/Explosion,Government (General),7,14
621,Hostage Taking (Kidnapping),Government (Diplomatic),2,12
622,Hostage Taking (Kidnapping),Business,2,11
623,Unknown,Police,3,9
624,Unknown,Police,27,9
625,Hostage Taking (Kidnapping),Police,2,9
626,Assassination,Business,0,11
627,Assassination,Government (General),0,14
628,Hostage Taking (Kidnapping),Government (General),2,14
629,Assassination,Police,0,9
630,Assassination,Police,0,9
631,Assassination,Private Citizens & Property,0,16
632,Hostage Taking (Kidnapping),Business,2,11
633,Armed Assault,Educational Institution,1,10
634,Armed Assault,Police,1,9
635,Bombing/Explosion,Business,7,11
636,Bombing/Explosion,Business,7,11
637,Bombing/Explosion,Business,7,11
638,Armed Assault,Transportation,1,22
639,Assassination,Business,0,11
640,Assassination,Police,0,9
641,Bombing/Explosion,Government (General),7,14
642,Hostage Taking (Barricade Incident),Educational Institution,5,10
643,Bombing/Explosion,Police,7,9
644,Bombing/Explosion,Government (General),7,14
645,Armed Assault,Government (General),1,14
646,Hostage Taking (Kidnapping),Business,2,11
647,Armed Assault,Telecommunication,1,17
648,Armed Assault,Transportation,1,22
649,Facility/Infrastructure Attack,Private Citizens & Property,6,16
650,Facility/Infrastructure Attack,Government (General),6,14
651,Bombing/Explosion,Business,7,11
652,Bombing/Explosion,Business,7,11
653,Armed Assault,Business,1,11
