,gname,country_txt
10199,The Extraditables,Colombia
10200,Unknown,Colombia
10201,Unknown,Chile
10202,Manuel Rodriguez Patriotic Front (FPMR),Chile
10203,Unknown,Chile
10204,Unknown,Chile
10205,The Extraditables,Colombia
10206,The Extraditables,Colombia
10207,The Extraditables,Colombia
10208,The Extraditables,Colombia
10209,The Extraditables,Colombia
10210,Unknown,Colombia
10211,Unknown,Peru
10212,Unknown,Ecuador
10213,United Popular Action Movement,Chile
10214,Unknown,Colombia
10215,The Extraditables,Colombia
10216,Shining Path (SL),Peru
10217,Shining Path (SL),Peru
10218,The Extraditables,Colombia
10219,Narco-Terrorists,Colombia
10220,Narco-Terrorists,Colombia
10221,The Extraditables,Colombia
10222,Narco-Terrorists,Colombia
10223,Narco-Terrorists,Colombia
10224,Narco-Terrorists,Colombia
10225,Narco-Terrorists,Colombia
10226,Narco-Terrorists,Colombia
10227,Shining Path (SL),Peru
10228,Narco-Terrorists,Colombia
10229,The Extraditables,Colombia
10230,The Extraditables,Colombia
10231,Narco-Terrorists,Colombia
10232,Shining Path (SL),Peru
10233,Cali Narcotics Cartel,Colombia
10234,Narco-Terrorists,Colombia
10235,Narco-Terrorists,Colombia
10236,Narco-Terrorists,Colombia
10237,Narco-Terrorists,Colombia
10238,Narco-Terrorists,Colombia
10239,National Liberation Army of Colombia (ELN),Colombia
10240,The Extraditables,Colombia
10241,The Extraditables,Colombia
10242,The Extraditables,Colombia
10243,The Extraditables,Colombia
10244,The Extraditables,Colombia
10245,Narco-Terrorists,Colombia
10246,Narco-Terrorists,Colombia
10247,Unknown,Chile
10248,The Extraditables,Colombia
10249,Shining Path (SL),Peru
10250,Shining Path (SL),Peru
10251,The Extraditables,Colombia
10252,The Extraditables,Colombia
10253,The Extraditables,Colombia
10254,The Extraditables,Colombia
10255,The Extraditables,Colombia
10256,The Extraditables,Colombia
10257,The Extraditables,Colombia
10258,The Extraditables,Colombia
10259,The Extraditables,Colombia
10260,The Extraditables,Colombia
10261,Unknown,Argentina
10262,Unknown,Argentina
10263,Narco-Terrorists,Colombia
10264,The Extraditables,Colombia
10265,Shining Path (SL),Peru
10266,Shining Path (SL),Peru
10267,Narco-Terrorists,Colombia
10268,The Extraditables,Colombia
10269,Narco-Terrorists,Colombia
10270,Narco-Terrorists,Colombia
10271,Narco-Terrorists,Colombia
10272,Tupac Amaru Revolutionary Movement (MRTA),Peru
10273,Narco-Terrorists,Colombia
10274,Unknown,Peru
10275,Narco-Terrorists,Colombia
10276,Narco-Terrorists,Colombia
10277,Narco-Terrorists,Colombia
10278,Narco-Terrorists,Colombia
10279,Narco-Terrorists,Colombia
10280,Arnoldo Camu Command,Chile
10281,Narco-Terrorists,Colombia
10282,Narco-Terrorists,Colombia
10283,Narco-Terrorists,Colombia
10284,Narco-Terrorists,Colombia
10285,Narco-Terrorists,Colombia
10286,Narco-Terrorists,Colombia
10287,Unknown,Peru
10288,Unknown,Colombia
10289,Narco-Terrorists,Colombia
10290,Narco-Terrorists,Colombia
10291,Narco-Terrorists,Colombia
10292,Narco-Terrorists,Colombia
10293,Narco-Terrorists,Colombia
10294,Narco-Terrorists,Colombia
10295,Narco-Terrorists,Colombia
10296,Manuel Rodriguez Patriotic Front (FPMR),Chile
10297,Unknown,Chile
10298,Narco-Terrorists,Colombia
10299,Narco-Terrorists,Colombia
10300,Shining Path (SL),Peru
10301,Shining Path (SL),Peru
10302,Shining Path (SL),Peru
10303,Narco-Terrorists,Colombia
10304,Narco-Terrorists,Colombia
10305,Narco-Terrorists,Colombia
10306,Narco-Terrorists,Colombia
10307,Narco-Terrorists,Colombia
10308,Narco-Terrorists,Colombia
10309,Narco-Terrorists,Colombia
10310,Narco-Terrorists,Colombia
10311,Narco-Terrorists,Colombia
10312,Narco-Terrorists,Colombia
10313,Narco-Terrorists,Colombia
10314,Narco-Terrorists,Colombia
10315,Narco-Terrorists,Colombia
10316,Shining Path (SL),Peru
10317,Shining Path (SL),Peru
10318,Shining Path (SL),Peru
10319,Shining Path (SL),Peru
10320,Shining Path (SL),Peru
10321,Shining Path (SL),Peru
10322,Shining Path (SL),Peru
10323,Shining Path (SL),Peru
10324,Shining Path (SL),Peru
10325,Narco-Terrorists,Colombia
10326,Unknown,Colombia
10327,Shining Path (SL),Peru
10328,Unknown,Chile
10329,Narco-Terrorists,Colombia
10330,Narco-Terrorists,Colombia
10331,Narco-Terrorists,Colombia
10332,Narco-Terrorists,Colombia
10333,Narco-Terrorists,Colombia
10334,Shining Path (SL),Peru
10335,Revolutionary Armed Forces of Colombia (FARC),Colombia
10336,National Liberation Army of Colombia (ELN),Colombia
10337,Narco-Terrorists,Colombia
10338,Shining Path (SL),Peru
10339,Narco-Terrorists,Colombia
10340,Narco-Terrorists,Colombia
10341,Narco-Terrorists,Colombia
10342,Tupac Amaru Revolutionary Movement (MRTA),Peru
10343,Tupac Amaru Revolutionary Movement (MRTA),Peru
10344,Tupac Amaru Revolutionary Movement (MRTA),Peru
10345,Manuel Rodriguez Patriotic Front (FPMR),Chile
10346,Manuel Rodriguez Patriotic Front (FPMR),Chile
10347,Manuel Rodriguez Patriotic Front (FPMR),Chile
10348,Manuel Rodriguez Patriotic Front (FPMR),Chile
10349,Manuel Rodriguez Patriotic Front (FPMR),Chile
10350,Manuel Rodriguez Patriotic Front (FPMR),Chile
10351,Manuel Rodriguez Patriotic Front (FPMR),Chile
10352,Manuel Rodriguez Patriotic Front (FPMR),Chile
10353,Manuel Rodriguez Patriotic Front (FPMR),Chile
10354,Unknown,Argentina
10355,Narco-Terrorists,Colombia
10356,Narco-Terrorists,Colombia
10357,Narco-Terrorists,Colombia
10358,Narco-Terrorists,Colombia
10359,Shining Path (SL),Peru
10360,Shining Path (SL),Peru
10361,Shining Path (SL),Peru
10362,Tupac Amaru Revolutionary Movement (MRTA),Peru
10363,Shining Path (SL),Peru
10364,Narco-Terrorists,Colombia
10365,Unknown,Uruguay
10366,Shining Path (SL),Peru
10367,Narco-Terrorists,Colombia
10368,Unknown,Colombia
10369,Unknown,Colombia
10370,Narco-Terrorists,Colombia
10371,Narco-Terrorists,Colombia
10372,Shining Path (SL),Peru
10373,Narco-Terrorists,Colombia
10374,Narco-Terrorists,Colombia
10375,Narco-Terrorists,Colombia
10376,Narco-Terrorists,Colombia
10377,Narco-Terrorists,Colombia
10378,Narco-Terrorists,Colombia
10379,Narco-Terrorists,Colombia
10380,Narco-Terrorists,Colombia
10381,Narco-Terrorists,Colombia
10382,Narco-Terrorists,Colombia
10383,Narco-Terrorists,Colombia
10384,Narco-Terrorists,Colombia
10385,Narco-Terrorists,Colombia
10386,Narco-Terrorists,Colombia
10387,Narco-Terrorists,Colombia
10388,Narco-Terrorists,Colombia
10389,Shining Path (SL),Peru
10390,Shining Path (SL),Peru
10391,Unknown,Peru
10392,Shining Path (SL),Peru
10393,Narco-Terrorists,Colombia
10394,Narco-Terrorists,Colombia
10395,Shining Path (SL),Peru
10396,Shining Path (SL),Peru
10397,Shining Path (SL),Peru
10398,Shining Path (SL),Peru
10399,Shining Path (SL),Peru
10400,Shining Path (SL),Peru
10401,Shining Path (SL),Peru
10402,Shining Path (SL),Peru
10403,Shining Path (SL),Peru
10404,Shining Path (SL),Peru
10405,Shining Path (SL),Peru
10406,Narco-Terrorists,Colombia
10407,Shining Path (SL),Peru
10408,Shining Path (SL),Peru
10409,Unknown,Peru
10410,Unknown,Peru
10411,Shining Path (SL),Peru
10412,Shining Path (SL),Peru
10413,Shining Path (SL),Peru
10414,Shining Path (SL),Peru
10415,Shining Path (SL),Peru
10416,Shining Path (SL),Peru
10417,Shining Path (SL),Peru
10418,Shining Path (SL),Peru
10419,Shining Path (SL),Peru
10420,Shining Path (SL),Peru
10421,Shining Path (SL),Peru
10422,Narco-Terrorists,Colombia
10423,Shining Path (SL),Peru
10424,National Liberation Union,Suriname
10425,National Liberation Union,Suriname
10426,Unknown,Peru
10427,Shining Path (SL),Peru
10428,Shining Path (SL),Peru
10429,Unknown,Chile
10430,National Liberation Army of Colombia (ELN),Colombia
10431,Revolutionary Armed Forces of Colombia (FARC),Colombia
10432,Unknown,Peru
10433,National Liberation Army of Colombia (ELN),Colombia
10434,Tupac Amaru Revolutionary Movement (MRTA),Peru
10435,Narco-Terrorists,Colombia
10436,Narco-Terrorists,Colombia
10437,Narco-Terrorists,Colombia
10438,Narco-Terrorists,Colombia
10439,Narco-Terrorists,Colombia
10440,Shining Path (SL),Peru
10441,Shining Path (SL),Peru
10442,Shining Path (SL),Peru
10443,Shining Path (SL),Peru
10444,Shining Path (SL),Peru
10445,Shining Path (SL),Peru
10446,Shining Path (SL),Peru
10447,Shining Path (SL),Peru
10448,Shining Path (SL),Peru
10449,Shining Path (SL),Peru
10450,Shining Path (SL),Peru
10451,Shining Path (SL),Peru
10452,Shining Path (SL),Peru
10453,Shining Path (SL),Peru
10454,Unknown,Chile
10455,Shining Path (SL),Peru
10456,Shining Path (SL),Peru
10457,Shining Path (SL),Peru
10458,Unknown,Argentina
10459,Narco-Terrorists,Colombia
10460,Shining Path (SL),Peru
10461,Tucayana Amerindians,Suriname
10462,Tacayana Indians,Suriname
10463,Unknown,Colombia
10464,Unknown,Chile
10465,Narco-Terrorists,Colombia
10466,Shining Path (SL),Peru
10467,Shining Path (SL),Peru
10468,Shining Path (SL),Peru
10469,National Liberation Army of Colombia (ELN),Colombia
10470,National Liberation Army of Colombia (ELN),Colombia
10471,Narco-Terrorists,Colombia
10472,Shining Path (SL),Peru
10473,Narco-Terrorists,Colombia
10474,Narco-Terrorists,Colombia
10475,National Liberation Army of Colombia (ELN),Venezuela
10476,Unknown,Ecuador
10477,National Liberation Army of Colombia (ELN),Venezuela
10478,Narco-Terrorists,Colombia
10479,Shining Path (SL),Peru
10480,Shining Path (SL),Peru
10481,Shining Path (SL),Peru
10482,Narco-Terrorists,Colombia
10483,Narco-Terrorists,Colombia
10484,Shining Path (SL),Peru
10485,Shining Path (SL),Peru
10486,Shining Path (SL),Peru
10487,Shining Path (SL),Peru
10488,Unknown,Colombia
10489,Manuel Rodriguez Patriotic Front (FPMR),Chile
10490,Shining Path (SL),Peru
10491,Shining Path (SL),Peru
10492,Shining Path (SL),Peru
10493,Shining Path (SL),Peru
10494,Shining Path (SL),Peru
10495,Shining Path (SL),Peru
10496,Shining Path (SL),Peru
10497,Narco-Terrorists,Colombia
10498,Narco-Terrorists,Colombia
10499,Narco-Terrorists,Colombia
10500,Narco-Terrorists,Colombia
10501,Narco-Terrorists,Colombia
10502,Shining Path (SL),Peru
10503,Shining Path (SL),Peru
10504,Shining Path (SL),Peru
10505,Shining Path (SL),Peru
10506,Narco-Terrorists,Colombia
10507,Shining Path (SL),Peru
10508,Shining Path (SL),Peru
10509,Narco-Terrorists,Colombia
10510,Narco-Terrorists,Colombia
10511,Narco-Terrorists,Colombia
10512,Shining Path (SL),Peru
10513,Shining Path (SL),Peru
10514,Shining Path (SL),Peru
10515,Unknown,Venezuela
10516,Unknown,Peru
10517,Unknown,Peru
10518,Unknown,Peru
10519,Narco-Terrorists,Colombia
10520,Unknown,Colombia
10521,Unknown,Peru
10522,Shining Path (SL),Peru
10523,Shining Path (SL),Peru
10524,National Liberation Army of Colombia (ELN),Colombia
10525,Narco-Terrorists,Colombia
10526,Narco-Terrorists,Colombia
10527,Narco-Terrorists,Colombia
10528,Shining Path (SL),Peru
10529,Unknown,Peru
10530,Narco-Terrorists,Colombia
10531,Narco-Terrorists,Colombia
10532,Narco-Terrorists,Colombia
10533,Narco-Terrorists,Colombia
10534,Shining Path (SL),Peru
10535,Narco-Terrorists,Colombia
10536,Tupac Amaru Revolutionary Movement (MRTA),Peru
10537,National Liberation Army of Colombia (ELN),Colombia
10538,Shining Path (SL),Peru
10539,Narco-Terrorists,Colombia
10540,Narco-Terrorists,Colombia
10541,Tupac Amaru Revolutionary Movement (MRTA),Peru
10542,Popular Liberation Army (EPL),Colombia
10543,Unknown,Colombia
10544,National Liberation Army of Colombia (ELN),Colombia
10545,Shining Path (SL),Peru
10546,Shining Path (SL),Peru
10547,Shining Path (SL),Peru
10548,Shining Path (SL),Peru
10549,Shining Path (SL),Peru
10550,Shining Path (SL),Peru
10551,Shining Path (SL),Peru
10552,Shining Path (SL),Peru
10553,Shining Path (SL),Peru
10554,Shining Path (SL),Peru
10555,Unknown,Colombia
10556,Narco-Terrorists,Colombia
10557,Narco-Terrorists,Colombia
10558,Narco-Terrorists,Colombia
10559,Unknown,Colombia
10560,Unknown,Colombia
10561,Shining Path (SL),Peru
10562,Shining Path (SL),Peru
10563,National Liberation Army of Colombia (ELN),Colombia
10564,Shining Path (SL),Peru
10565,Shining Path (SL),Peru
10566,Shining Path (SL),Peru
10567,Shining Path (SL),Peru
10568,Unknown,Bolivia
10569,Unknown,Bolivia
10570,Unknown,Bolivia
10571,Unknown,Bolivia
10572,Unknown,Bolivia
10573,Unknown,Bolivia
10574,Unknown,Bolivia
10575,Unknown,Bolivia
10576,Unknown,Bolivia
10577,Unknown,Bolivia
10578,Shining Path (SL),Peru
10579,Shining Path (SL),Peru
10580,Unknown,Bolivia
10581,Shining Path (SL),Peru
10582,Manuel Rodriguez Patriotic Front (FPMR),Chile
10583,Shining Path (SL),Peru
10584,Shining Path (SL),Peru
10585,Unknown,Chile
10586,Narco-Terrorists,Colombia
10587,Unknown,Colombia
10588,National Liberation Army of Colombia (ELN),Colombia
10589,National Liberation Army of Colombia (ELN),Colombia
10590,Unknown,Peru
10591,Manuel Rodriguez Patriotic Front (FPMR),Chile
10592,Unknown,Chile
10593,Shining Path (SL),Peru
10594,Shining Path (SL),Peru
10595,Shining Path (SL),Peru
10596,Unknown,Peru
10597,United Popular Action Movement,Chile
10598,Narco-Terrorists,Colombia
10599,National Liberation Army of Colombia (ELN),Colombia
10600,Unknown,Argentina
10601,Manuel Rodriguez Patriotic Front (FPMR),Chile
10602,Manuel Rodriguez Patriotic Front (FPMR),Chile
10603,Manuel Rodriguez Patriotic Front (FPMR),Chile
10604,Narco-Terrorists,Colombia
10605,National Liberation Army of Colombia (ELN),Colombia
10606,Revolutionary Armed Forces of Colombia (FARC),Colombia
10607,Unknown,Chile
10608,Manuel Rodriguez Patriotic Front (FPMR),Chile
10609,Manuel Rodriguez Patriotic Front (FPMR),Chile
10610,Manuel Rodriguez Patriotic Front (FPMR),Chile
10611,Manuel Rodriguez Patriotic Front (FPMR),Chile
10612,National Liberation Army of Colombia (ELN),Colombia
10613,Manuel Rodriguez Patriotic Front (FPMR),Chile
10614,The Extraditables,Colombia
10615,Rodrigo Franco Command,Peru
10616,Rodrigo Franco Command,Peru
10617,Rodrigo Franco Command,Peru
10618,Shining Path (SL),Peru
10619,Narco-Terrorists,Colombia
10620,Shining Path (SL),Peru
10621,Shining Path (SL),Peru
10622,Shining Path (SL),Peru
10623,Shining Path (SL),Peru
10624,Shining Path (SL),Peru
10625,Shining Path (SL),Peru
10626,Shining Path (SL),Peru
10627,White Mercenaries,Suriname
10628,White Mercenaries,Suriname
10629,The Extraditables,Colombia
10630,Unknown,Peru
10631,The Extraditables,Colombia
10632,Popular Militia (Colombia),Colombia
10633,Popular Militia (Colombia),Colombia
10634,Popular Militia (Colombia),Colombia
10635,National Liberation Army of Colombia (ELN),Colombia
10636,Unknown,Peru
10637,Unknown,Colombia
10638,Unknown,Colombia
10639,Shining Path (SL),Peru
10640,Struggle Against Misery and Exploitation of Peasants,Peru
10641,Struggle Against Misery and Exploitation of Peasants,Peru
10642,Shining Path (SL),Peru
10643,Shining Path (SL),Peru
10644,Shining Path (SL),Peru
10645,Unknown,Brazil
10646,Narco-Terrorists,Colombia
10647,Manuel Rodriguez Patriotic Front (FPMR),Chile
10648,Shining Path (SL),Peru
10649,Quintin Lame,Colombia
10650,Shining Path (SL),Peru
10651,Shining Path (SL),Peru
10652,The Extraditables,Colombia
10653,Zarate Willka Armed Forces of Liberation,Bolivia
10654,Unknown,Argentina
10655,Unknown,Chile
10656,Unknown,Chile
10657,Unknown,Chile
10658,Unknown,Chile
10659,Unknown,Argentina
10660,Unknown,Argentina
10661,Unknown,Chile
10662,Unknown,Peru
10663,United Popular Action Movement,Chile
10664,Unknown,Chile
10665,Tupac Amaru Revolutionary Movement (MRTA),Peru
10666,Revolutionary Armed Forces of Colombia (FARC),Colombia
10667,Shining Path (SL),Peru
10668,Shining Path (SL),Peru
10669,Unknown,Peru
10670,Shining Path (SL),Peru
10671,Shining Path (SL),Peru
10672,Shining Path (SL),Peru
10673,Shining Path (SL),Peru
10674,National Liberation Army of Colombia (ELN),Colombia
10675,Unknown,Ecuador
10676,Tupac Amaru Revolutionary Movement (MRTA),Peru
10677,Manuel Rodriguez Patriotic Front (FPMR),Chile
10678,Manuel Rodriguez Patriotic Front (FPMR),Chile
10679,Manuel Rodriguez Patriotic Front (FPMR),Chile
10680,Manuel Rodriguez Patriotic Front (FPMR),Chile
10681,Narco-Terrorists,Peru
10682,Narco-Terrorists,Peru
10683,Narco-Terrorists,Peru
10684,Unknown,Peru
10685,Unknown,Peru
10686,Unknown,Peru
10687,Manuel Rodriguez Patriotic Front (FPMR),Chile
10688,Manuel Rodriguez Patriotic Front (FPMR),Chile
10689,Manuel Rodriguez Patriotic Front (FPMR),Chile
10690,Manuel Rodriguez Patriotic Front (FPMR),Chile
10691,Manuel Rodriguez Patriotic Front (FPMR),Chile
10692,Manuel Rodriguez Patriotic Front (FPMR),Chile
10693,Unknown,Ecuador
10694,Alejo Calatayu,Bolivia
10695,Unknown,Bolivia
10696,Revolutionary Armed Forces of Colombia (FARC),Colombia
10697,Shining Path (SL),Peru
10698,Shining Path (SL),Peru
10699,Shining Path (SL),Peru
10700,Shining Path (SL),Peru
10701,Omar Torrijos Commando for Latin American Dignity,Venezuela
10702,National Liberation Army of Colombia (ELN),Colombia
10703,Unknown,Chile
10704,Shining Path (SL),Peru
10705,Shining Path (SL),Peru
10706,Unknown,Colombia
10707,National Liberation Army of Colombia (ELN),Colombia
10708,National Liberation Army of Colombia (ELN),Colombia
10709,National Liberation Army of Colombia (ELN),Colombia
10710,National Liberation Army of Colombia (ELN),Colombia
10711,National Liberation Army of Colombia (ELN),Colombia
10712,National Liberation Army of Colombia (ELN),Colombia
10713,National Liberation Army of Colombia (ELN),Colombia
10714,The Extraditables,Colombia
10715,National Liberation Army of Colombia (ELN),Colombia
10716,Unknown,Colombia
10717,Right-Wing Death Squad,Colombia
10718,Popular Liberation Army (EPL),Colombia
10719,Shining Path (SL),Peru
10720,Unknown,Peru
10721,Shining Path (SL),Peru
10722,Shining Path (SL),Peru
10723,Popular Liberation Army (EPL),Colombia
10724,The Extraditables,Colombia
10725,Unknown,Colombia
10726,National Liberation Army of Colombia (ELN),Colombia
10727,Shining Path (SL),Peru
10728,Unknown,Argentina
10729,Shining Path (SL),Peru
10730,Shining Path (SL),Peru
10731,Narco-Terrorists,Colombia
10732,Shining Path (SL),Peru
10733,Zarate Willka Armed Forces of Liberation,Bolivia
10734,Shining Path (SL),Peru
10735,Shining Path (SL),Peru
10736,Shining Path (SL),Peru
10737,Manuel Rodriguez Patriotic Front (FPMR),Chile
10738,Manuel Gonzales Patriotic Front,Chile
10739,Narco-Terrorists,Colombia
10740,Shining Path (SL),Peru
10741,Tupac Amaru Revolutionary Movement (MRTA),Peru
10742,Popular Liberation Army (EPL),Colombia
10743,Shining Path (SL),Peru
10744,Shining Path (SL),Peru
10745,Shining Path (SL),Peru
10746,Shining Path (SL),Peru
10747,Shining Path (SL),Peru
10748,Shining Path (SL),Peru
10749,Unknown,Bolivia
10750,Shining Path (SL),Peru
10751,National Liberation Army of Colombia (ELN),Colombia
10752,Unknown,Colombia
10753,Shining Path (SL),Peru
10754,Unknown,Argentina
10755,Unknown,Argentina
10756,United Popular Action Movement,Chile
10757,Shining Path (SL),Peru
10758,National Liberation Army of Colombia (ELN),Colombia
10759,Shining Path (SL),Peru
10760,Shining Path (SL),Peru
10761,Shining Path (SL),Peru
10762,Shining Path (SL),Peru
10763,Shining Path (SL),Peru
10764,Shining Path (SL),Peru
10765,Shining Path (SL),Peru
10766,Unknown,Chile
10767,Shining Path (SL),Peru
10768,Shining Path (SL),Peru
10769,National Liberation Army of Colombia (ELN),Colombia
10770,Narco-Terrorists,Colombia
10771,National Liberation Army of Colombia (ELN),Colombia
10772,National Liberation Army of Colombia (ELN),Colombia
10773,Narco-Terrorists,Colombia
10774,Unknown,Guyana
10775,Unknown,Guyana
10776,Unknown,Guyana
10777,Shining Path (SL),Peru
10778,Unknown,Guyana
10779,Shining Path (SL),Peru
10780,Unknown,Peru
10781,Unknown,Chile
10782,Unknown,Chile
10783,National Liberation Army of Colombia (ELN),Colombia
10784,National Liberation Army of Colombia (ELN),Colombia
10785,National Liberation Army of Colombia (ELN),Colombia
10786,Tupac Amaru Revolutionary Movement (MRTA),Peru
10787,Unknown,Peru
10788,Unknown,Guyana
10789,Tupac Amaru Revolutionary Movement (MRTA),Peru
10790,Tupac Amaru Revolutionary Movement (MRTA),Peru
10791,Shining Path (SL),Peru
10792,Shining Path (SL),Peru
10793,Shining Path (SL),Peru
10794,National Liberation Army of Colombia (ELN),Colombia
10795,Shining Path (SL),Peru
10796,National Liberation Army of Colombia (ELN),Colombia
10797,Manuel Rodriguez Patriotic Front (FPMR),Chile
10798,National Liberation Army of Colombia (ELN),Colombia
10799,Shining Path (SL),Peru
10800,National Liberation Army of Colombia (ELN),Colombia
10801,Unknown,Colombia
10802,Unknown,Colombia
10803,Tupac Amaru Revolutionary Movement (MRTA),Peru
10804,National Liberation Army of Colombia (ELN),Colombia
10805,National Liberation Army of Colombia (ELN),Colombia
10806,Unknown,Colombia
10807,Unknown,Colombia
10808,Tupac Amaru Revolutionary Movement (MRTA),Peru
10809,Tupac Amaru Revolutionary Movement (MRTA),Peru
10810,Unknown,Peru
10811,Shining Path (SL),Peru
10812,National Liberation Army of Colombia (ELN),Colombia
10813,Shining Path (SL),Peru
10814,National Liberation Army of Colombia (ELN),Colombia
10815,National Liberation Army of Colombia (ELN),Colombia
10816,National Liberation Army of Colombia (ELN),Colombia
10817,National Liberation Army of Colombia (ELN),Colombia
10818,Shining Path (SL),Peru
10819,Unknown,Argentina
10820,National Liberation Army of Colombia (ELN),Colombia
10821,National Liberation Army of Colombia (ELN),Colombia
10822,National Liberation Army of Colombia (ELN),Colombia
10823,National Liberation Army of Colombia (ELN),Colombia
10824,Shining Path (SL),Peru
10825,Che Guevara Brigade,Argentina
10826,Che Guevara Brigade,Argentina
10827,Unknown,Colombia
10828,Unknown,Colombia
10829,Unknown,Colombia
10830,Death Squad,Colombia
10831,Death Squad,Colombia
10832,Shining Path (SL),Peru
10833,United Popular Action Movement,Chile
10834,Manuel Rodriguez Patriotic Front (FPMR),Chile
10835,National Liberation Army of Colombia (ELN),Colombia
10836,Unknown,Colombia
10837,National Liberation Army of Colombia (ELN),Colombia
10838,Shining Path (SL),Peru
10839,Shining Path (SL),Peru
10840,Shining Path (SL),Peru
10841,Shining Path (SL),Peru
10842,Shining Path (SL),Peru
10843,Shining Path (SL),Peru
10844,United Popular Action Movement,Chile
10845,Death Squad,Colombia
10846,United Popular Action Movement,Chile
10847,Popular Militia (Colombia),Colombia
10848,Popular Militia (Colombia),Colombia
10849,Popular Militia (Colombia),Colombia
10850,Popular Militia (Colombia),Colombia
10851,Unknown,Ecuador
10852,Unknown,Ecuador
10853,Popular Liberation Army (EPL),Colombia
10854,Unknown,Colombia
10855,National Liberation Army of Colombia (ELN),Colombia
10856,Unknown,Colombia
10857,Shining Path (SL),Peru
10858,Revolutionary Armed Forces of Colombia (FARC),Colombia
10859,Rodrigo Franco Command,Peru
10860,Rodrigo Franco Command,Peru
10861,National Liberation Army of Colombia (ELN),Colombia
10862,Shining Path (SL),Peru
10863,Popular Liberation Army (EPL),Colombia
10864,Popular Liberation Army (EPL),Colombia
10865,Popular Liberation Army (EPL),Colombia
10866,Popular Liberation Army (EPL),Colombia
10867,Popular Liberation Army (EPL),Colombia
10868,Popular Liberation Army (EPL),Colombia
10869,National Liberation Army of Colombia (ELN),Colombia
10870,National Liberation Army of Colombia (ELN),Colombia
10871,Unknown,Colombia
10872,Unknown,Peru
10873,National Liberation Army of Colombia (ELN),Colombia
10874,Manuel Rodriguez Patriotic Front (FPMR),Chile
10875,Manuel Rodriguez Patriotic Front (FPMR),Chile
10876,Manuel Rodriguez Patriotic Front (FPMR),Chile
10877,Manuel Rodriguez Patriotic Front (FPMR),Chile
10878,Manuel Rodriguez Patriotic Front (FPMR),Chile
10879,Manuel Rodriguez Patriotic Front (FPMR),Chile
10880,Manuel Rodriguez Patriotic Front (FPMR),Chile
10881,Manuel Rodriguez Patriotic Front (FPMR),Chile
10882,Manuel Rodriguez Patriotic Front (FPMR),Chile
10883,Manuel Rodriguez Patriotic Front (FPMR),Chile
10884,Manuel Rodriguez Patriotic Front (FPMR),Chile
10885,Manuel Rodriguez Patriotic Front (FPMR),Chile
10886,Manuel Rodriguez Patriotic Front (FPMR),Chile
10887,Patriotic Liberation Front,Peru
10888,Manuel Rodriguez Patriotic Front (FPMR),Chile
10889,Unknown,Chile
10890,Unknown,Colombia
10891,Death Squad,Colombia
10892,National Liberation Army of Colombia (ELN),Colombia
10893,National Liberation Army of Colombia (ELN),Colombia
10894,Shining Path (SL),Peru
10895,Unknown,Peru
10896,Shining Path (SL),Peru
10897,Manuel Rodriguez Patriotic Front (FPMR),Chile
10898,Revolutionary Armed Forces of Colombia (FARC),Colombia
10899,Revolutionary Armed Forces of Colombia (FARC),Colombia
10900,Shining Path (SL),Peru
10901,Shining Path (SL),Peru
10902,Shining Path (SL),Peru
10903,Shining Path (SL),Peru
10904,Shining Path (SL),Peru
10905,Shining Path (SL),Peru
10906,Shining Path (SL),Peru
10907,Shining Path (SL),Peru
10908,Shining Path (SL),Peru
10909,Manuel Rodriguez Patriotic Front (FPMR),Chile
10910,Unknown,Colombia
10911,National Liberation Army of Colombia (ELN),Colombia
10912,Shining Path (SL),Peru
10913,Narco-Terrorists,Colombia
10914,Shining Path (SL),Peru
10915,Unknown,Ecuador
10916,National Liberation Army of Colombia (ELN),Colombia
10917,National Liberation Army (Peru),Peru
10918,Popular Liberation Army (EPL),Colombia
10919,Popular Liberation Army (EPL),Colombia
10920,Death Squad,Colombia
10921,Shining Path (SL),Peru
10922,Shining Path (SL),Peru
10923,Shining Path (SL),Peru
10924,Shining Path (SL),Peru
10925,Revolutionary Armed Forces of Colombia (FARC),Colombia
10926,Revolutionary Armed Forces of Colombia (FARC),Colombia
10927,Revolutionary Armed Forces of Colombia (FARC),Colombia
10928,Revolutionary Armed Forces of Colombia (FARC),Colombia
10929,Revolutionary Armed Forces of Colombia (FARC),Colombia
10930,Unknown,Colombia
10931,Unknown,Peru
10932,Shining Path (SL),Peru
10933,Patriotic Liberation Front,Peru
10934,Patriotic Liberation Front,Peru
10935,Patriotic Liberation Front,Peru
10936,Shining Path (SL),Peru
10937,Shining Path (SL),Peru
10938,Shining Path (SL),Peru
10939,Shining Path (SL),Peru
10940,Shining Path (SL),Peru
10941,Shining Path (SL),Peru
10942,Shining Path (SL),Peru
10943,Shining Path (SL),Peru
10944,Shining Path (SL),Peru
10945,Shining Path (SL),Peru
10946,Shining Path (SL),Peru
10947,Shining Path (SL),Peru
10948,Shining Path (SL),Peru
10949,Shining Path (SL),Peru
10950,Shining Path (SL),Peru
10951,Shining Path (SL),Peru
10952,Shining Path (SL),Peru
10953,Brunswijk Jungle Commando,Suriname
10954,Brunswijk Jungle Commando,Suriname
10955,United Popular Action Movement,Chile
10956,Shining Path (SL),Peru
10957,Shining Path (SL),Peru
10958,Shining Path (SL),Peru
10959,Shining Path (SL),Peru
10960,Shining Path (SL),Peru
