,gname,country_txt
256,Montoneros (Argentina),Argentina
257,Montoneros (Argentina),Argentina
258,Condor,Peru
259,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
260,Argentine Anticommunist Alliance (AAA),Argentina
261,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
262,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
263,Montoneros (Argentina),Argentina
264,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
265,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
266,Unknown,Ecuador
267,Unknown,Ecuador
268,Unknown,Ecuador
269,Revolutionary Vanguard,Peru
270,Montoneros (Argentina),Argentina
271,Montoneros (Argentina),Argentina
272,Unknown,Peru
273,Montoneros (Argentina),Argentina
274,National Liberation Army of Colombia (ELN),Colombia
275,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
276,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
277,Montoneros (Argentina),Argentina
278,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
279,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
280,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
281,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
282,Montoneros (Argentina),Argentina
283,Revolutionary Armed Forces of Colombia (FARC),Colombia
284,Montoneros (Argentina),Argentina
285,Montoneros (Argentina),Argentina
286,Red Flag (Venezuela),Venezuela
287,National Liberation Army of Colombia (ELN),Colombia
288,Unknown,Argentina
289,Unknown,Argentina
290,Montoneros (Argentina),Argentina
291,Unknown,Argentina
292,Unknown,Argentina
293,Revolutionary Armed Forces of Colombia (FARC),Colombia
294,Argentine National Organization Movement (MANO),Argentina
295,National Liberation Army of Colombia (ELN),Colombia
296,Revolutionary Vanguard,Peru
297,Montoneros (Argentina),Argentina
298,Unknown,Argentina
299,Unknown,Argentina
300,Red Flag (Venezuela),Venezuela
301,Red Flag (Venezuela),Venezuela
302,Popular Liberation Army (EPL),Colombia
303,Unknown,Argentina
304,Movement of the Revolutionary Left (MIR) (Peru),Peru
305,Montoneros (Argentina),Argentina
306,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
307,Red Flag (Venezuela),Venezuela
308,Red Flag (Venezuela),Venezuela
309,Montoneros (Argentina),Argentina
310,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
311,Unknown,Colombia
312,Unknown,Argentina
313,Cuban Action,Argentina
314,National Liberation Army of Colombia (ELN),Colombia
315,Unknown,Argentina
316,National Liberation Army of Colombia (ELN),Colombia
317,Military Liberation Front of Colombia,Colombia
318,Montoneros (Argentina),Argentina
319,Unknown,Argentina
320,Unknown,Argentina
321,Montoneros (Argentina),Argentina
322,Montoneros (Argentina),Argentina
323,Montoneros (Argentina),Argentina
324,Montoneros (Argentina),Argentina
325,Unknown,Argentina
326,Montoneros (Argentina),Argentina
327,Montoneros (Argentina),Argentina
328,National Liberation Army of Colombia (ELN),Colombia
329,Unknown,Argentina
330,Montoneros (Argentina),Argentina
331,Revolutionary Armed Forces of Colombia (FARC),Colombia
332,National Liberation Army of Colombia (ELN),Colombia
333,Unknown,Argentina
334,Popular Liberation Army (EPL),Colombia
335,Montoneros (Argentina),Argentina
336,Unknown,Colombia
337,Montoneros (Argentina),Argentina
338,Unknown,Venezuela
339,Montoneros (Argentina),Argentina
340,National Liberation Army of Colombia (ELN),Colombia
341,M-19 (Movement of April 19),Colombia
342,Unknown,Venezuela
343,Revolutionary Command,Venezuela
344,Montoneros (Argentina),Argentina
345,Montoneros (Argentina),Argentina
346,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
347,Montoneros (Argentina),Argentina
348,Montoneros (Argentina),Argentina
349,Unknown,Argentina
350,Unknown,Colombia
351,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),Argentina
352,Unknown,Colombia
353,Montoneros (Argentina),Argentina
354,Montoneros (Argentina),Argentina
355,Argentine Anticommunist Alliance (AAA),Argentina
356,Montoneros (Argentina),Argentina
357,Unknown,Chile
358,Unknown,Colombia
359,Montoneros (Argentina),Argentina
360,Montoneros (Argentina),Argentina
361,Argentine Anticommunist Alliance (AAA),Argentina
362,M-19 (Movement of April 19),Colombia
363,National Liberation Army of Colombia (ELN),Colombia
364,Montoneros (Argentina),Argentina
365,Revolutionary Armed Forces of Colombia (FARC),Colombia
366,Unknown,Argentina
